Performance(MegaMultiply-Sums per Second)1825.837781Index,Sum
499,143000.250000
500,9218.875977
501,-208556.000000
502,435949.437500
503,96467.046875
504,79150.968750
505,523389.875000
506,132585.203125
507,-202261.656250
508,-183528.718750
509,153575.453125
510,-49791.359375
511,15378.128906
512,-334884.593750
513,44840.265625
514,-50209.656250
515,239692.437500
516,6605.855957
517,245938.531250
518,564159.375000
519,239957.156250
520,-76667.687500
521,-311324.718750
522,432237.875000
523,409578.781250
524,409328.343750
525,79946.546875
526,-343708.437500
527,340060.406250
528,122581.507812
529,-304386.000000
530,478189.750000
531,-33667.875000
532,119451.695312
533,87561.601562
534,307280.375000
535,-229622.859375
536,449036.500000
537,225430.718750
538,-11604.863281
539,225674.000000
540,18495.429688
541,52413.664062
542,149723.453125
543,139849.156250
544,-70302.578125
545,282551.406250
546,29750.601562
547,-139833.125000
548,284302.062500
549,124961.726562
550,558641.000000
551,317210.468750
552,-180412.359375
553,78630.656250
554,-507323.468750
555,-61340.667969
556,-397611.093750
557,-160980.531250
558,66236.648438
559,-23598.289062
560,256977.984375
561,11920.343750
562,376925.906250
563,214662.015625
564,-105242.500000
565,-312116.343750
566,308488.718750
567,-651359.312500
568,281710.750000
569,327173.656250
570,-170655.406250
571,-504696.093750
572,301480.875000
573,-394435.125000
574,90495.125000
575,156129.625000
576,-213558.640625
577,-482187.187500
578,107485.375000
579,-146798.578125
580,-169056.343750
581,497057.875000
582,23975.595703
583,-604998.437500
584,197768.671875
585,-146572.703125
586,-42026.316406
587,-161667.765625
588,32294.935547
589,18972.005859
590,-212749.156250
591,-493343.343750
592,-84774.601562
593,536473.687500
594,-62271.703125
595,-39545.496094
596,-316330.406250
597,-533850.625000
598,-414338.781250
599,140889.593750
600,111852.320312
601,-21595.265625
602,-304023.000000
603,-178689.062500
604,116814.914062
605,172757.843750
606,65723.765625
607,-113667.210938
608,235154.843750
609,32112.187500
610,30429.185547
611,267676.437500
612,-82754.062500
613,-125588.703125
614,-316853.250000
615,-230448.937500
616,-46769.789062
617,-192949.968750
618,198039.078125
619,4487.018555
620,120911.617188
621,306107.000000
622,23198.917969
623,361976.093750
624,433011.250000
625,-65515.296875
626,-7065.438477
627,265649.656250
628,-270983.031250
629,223574.218750
630,-195741.343750
631,151937.828125
632,-194535.609375
633,233238.718750
634,200560.953125
635,-562448.750000
636,-402205.562500
637,422972.812500
638,-439890.375000
639,-231919.484375
640,-327593.812500
641,69018.921875
642,233034.843750
643,-140961.687500
644,-185642.328125
645,75760.125000
646,232733.234375
647,-297688.906250
648,-133123.796875
649,-16470.375000
650,501034.093750
651,269466.406250
652,299191.062500
653,331909.531250
654,-18484.906250
655,18535.279297
656,-162087.265625
657,22897.171875
658,-50867.632812
659,102409.937500
660,250124.062500
661,117140.906250
662,31251.339844
663,-72146.906250
664,-182017.000000
665,150124.921875
666,-1876.275391
667,-163787.937500
668,79801.585938
669,305977.968750
670,87261.929688
671,182976.437500
672,-329002.875000
673,-164125.093750
674,-190697.859375
675,533445.562500
676,700782.187500
677,180873.343750
678,350187.968750
679,99709.875000
680,87396.742188
681,373297.875000
682,389177.218750
683,-206875.828125
684,259889.781250
685,-284889.562500
686,127805.156250
687,-198337.687500
688,17327.378906
689,-10340.867188
690,-90603.375000
691,462023.281250
692,150248.453125
693,534493.062500
694,-121773.523438
695,-8191.476074
696,583765.125000
